time,open,high,low,close,tick_volume,spread,real_volume
2021-03-02 00:00:00,1.20488,1.20501,1.20436,1.20499,247,4,0
2021-03-02 01:00:00,1.205,1.20505,1.20451,1.20485,1490,0,0
2021-03-02 02:00:00,1.20485,1.20492,1.20379,1.20387,1704,0,0
2021-03-02 03:00:00,1.20387,1.20407,1.20271,1.20313,3554,0,0
2021-03-02 04:00:00,1.20313,1.20358,1.20152,1.20213,3120,0,0
2021-03-02 05:00:00,1.20212,1.20276,1.20179,1.20267,3302,0,0
2021-03-02 06:00:00,1.20267,1.20276,1.20188,1.20209,1557,0,0
2021-03-02 07:00:00,1.20209,1.20241,1.20166,1.20217,2650,0,0
2021-03-02 08:00:00,1.20217,1.20269,1.20201,1.2022599999999999,2458,0,0
2021-03-02 09:00:00,1.2022599999999999,1.20233,1.20031,1.20073,5574,0,0
2021-03-02 10:00:00,1.20073,1.20164,1.19992,1.20024,5475,0,0
2021-03-02 11:00:00,1.20024,1.20148,1.19918,1.20062,6192,0,0
2021-03-02 12:00:00,1.20062,1.20273,1.20062,1.20237,4862,0,0
2021-03-02 13:00:00,1.20237,1.20369,1.20204,1.20313,4230,0,0
2021-03-02 14:00:00,1.20313,1.20376,1.20242,1.2033800000000001,3859,0,0
2021-03-02 15:00:00,1.20337,1.20342,1.20198,1.2029,5266,0,0
2021-03-02 16:00:00,1.2029,1.20462,1.20279,1.20426,6571,0,0
2021-03-02 17:00:00,1.20426,1.20638,1.2035,1.20625,7257,0,0
2021-03-02 18:00:00,1.20624,1.20806,1.20591,1.20785,6825,0,0
2021-03-02 19:00:00,1.20785,1.20846,1.20768,1.20796,2736,0,0
2021-03-02 20:00:00,1.20796,1.20893,1.20793,1.20856,2619,0,0
2021-03-02 21:00:00,1.20856,1.20874,1.20819,1.20839,1969,0,0
2021-03-02 22:00:00,1.20839,1.20944,1.20838,1.20893,2068,0,0
2021-03-02 23:00:00,1.20893,1.20909,1.20858,1.20905,1211,0,0
2021-03-03 00:00:00,1.20906,1.20908,1.20816,1.2083599999999999,543,0,0
2021-03-03 01:00:00,1.2083599999999999,1.2088700000000001,1.2083599999999999,1.2085,1243,0,0
2021-03-03 02:00:00,1.20851,1.209,1.20838,1.20862,1351,0,0
2021-03-03 03:00:00,1.20863,1.20934,1.20847,1.20915,1925,0,0
2021-03-03 04:00:00,1.20915,1.2092,1.20833,1.2083599999999999,1130,0,0
2021-03-03 05:00:00,1.2083599999999999,1.20864,1.2082600000000001,1.20828,1083,0,0
2021-03-03 06:00:00,1.20828,1.20896,1.20827,1.20886,894,0,0
